10-04-2026 13:18:51 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:51 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:51 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:51 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:52 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:52 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:53 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:53 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:53 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:54 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:03 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:04 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:04 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:04 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:04 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:10 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:10 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:10 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:10 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:11 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:11 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:11 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:11 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:11 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:13 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:13 | GET | cafeteria-api/controllers/pedidos_itens
